0,CombatZoneResize,239,226,404,391,TLResume,,,
0,BoneV,171,282,46,0,180,,,
0,BoneV,171,346,40,0,180,,,
0,BoneV,466,282,46,2,180,,,
0,BoneV,466,346,40,2,180,,,
0.1,JMPABS,93,,,,,,,
0,JMPZ,6,$Loop2,,,,,,
0.8,JMPABS,71,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,GasterBlaster,1,191,306,191,306,0,0.6,0.26666
0,GasterBlaster,1,321,166,321,166,90,0.6,0.26666
0,GasterBlaster,1,449,306,449,306,180,0.6,0.26666
0,GasterBlaster,1,321,446,321,446,270,0.6,0.26666
1.2,JMPABS,6,,,,,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,GasterBlaster,1,191,176,191,176,45,0.66666,0.26666
0,GasterBlaster,1,451,176,451,176,135,0.66666,0.26666
0,GasterBlaster,1,451,436,451,436,225,0.66666,0.26666
0,GasterBlaster,1,191,436,191,436,315,0.66666,0.26666
1.2,JMPABS,6,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartTeleport,489,376,,,,,,
0,HeartMode,1,,,,,,,
0,BoneVRepeat,345,364,20,0,120,6,76,
0,BoneVRepeat,297,280,82,2,120,6,76,
1.9,JMPABS,6,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartTeleport,168,376,,,,,,
0,HeartMode,1,,,,,,,
0,BoneVRepeat,297,364,20,2,120,6,76,
0,BoneVRepeat,345,280,82,0,120,6,76,
1.9,JMPABS,6,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartTeleport,330,304,,,,,,
0,HeartMode,1,,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneV,521,280,35,2,240,,,
0,BoneV,1,319,65,0,240,,,
1.5,JMPABS,6,,,,,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartTeleport,330,304,,,,,,
0,HeartMode,1,,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,BoneV,119,280,35,0,240,,,
0,BoneV,639,319,65,2,240,,,
1.5,JMPABS,6,,,,,,,
0,CombatZoneResizeInstant,179,226,404,391,,,,
0,HeartTeleport,382,304,,,,,,
0,HeartMode,0,,,,,,,
0,SineBones,16,-20,300,55,,,,
1.7,JMPABS,6,,,,,,,
0,CombatZoneResizeInstant,239,226,464,391,,,,
0,HeartTeleport,267,304,,,,,,
0,HeartMode,0,,,,,,,
0,SineBones,16,20,300,55,,,,
1.7,JMPABS,6,,,,,,,
0,CombatZoneResizeInstant,33,251,608,391,,,,
0,EndAttack,,,,,,,,
